genetic,length,mass,exercise,smoking,alcohol,sugar,lifespan,bmi
73.9,185.0,99.7,0.9,0.0,2.4,6.9,73.1,29.1307523739956
86.0,172.0,105.4,1.8,8.1,0.4,4.2,85.0,35.6273661438615
83.3,176.0,111.4,1.1,0.8,4.6,7.5,81.6,35.963326446281
82.8,164.0,111.4,4.7,11.8,1.0,2.9,81.0,41.4187983343248
78.7,178.0,71.6,1.5,8.3,4.9,5.5,75.0,22.598156798384
88.2,192.0,54.3,1.8,0.4,2.1,8.0,87.5,14.7298177083333
84.1,180.0,91.6,4.3,2.2,0.2,6.0,86.8,28.2716049382716
76.8,185.0,127.9,2.6,21.0,1.7,3.7,69.4,37.3703433162893
92.1,191.0,68.0,1.9,17.8,5.1,7.1,86.1,18.639839916669
79.0,164.0,118.1,3.7,0.5,1.2,6.1,77.8,43.9098750743605
84.9,190.0,94.3,2.0,7.7,5.1,6.4,82.1,26.1218836565097
85.1,210.880283410701,86.4,1.9,3.1,4.8,10.1,83.3,19.0438405078358
78.0,167.0,106.6,0.7,14.0,1.0,7.9,72.3,38.2229552870307
76.5,181.0,57.3,3.0,14.0,1.0,6.3,74.6,17.4903085986386
80.7,176.0,107.1,1.9,0.5,4.0,5.3,80.0,34.5751549586777
81.1,191.0,109.1,1.7,11.0,0.7,4.9,78.6,29.905978454538
91.6,175.0,78.4,1.6,13.5,5.0,12.4829548229548,86.8,25.6
74.9,191.0,125.6,1.8,16.8,4.8,4.6,67.5,34.4288807872591
81.0,178.0,117.4,4.6,20.5,1.3,3.7,79.0,37.0534023481884
80.6,175.0,85.7,3.6,12.3,4.5,1.0,80.2,27.9836734693878
95.9183516483517,162.0,60.9,3.4,2.6,4.0,7.9,95.4674157303371,23.2053040695016
77.8,178.0,97.9,3.3,16.7,3.5,9.6,72.9,30.8988764044944
72.4,170.0,127.1,3.0,14.3,5.7,9.7,67.3,43.9792387543253
86.7,185.0,51.9,1.8,0.5,5.3,8.5,84.8,15.1643535427319
82.3,180.0,84.3,4.1,0.7,3.0,12.4829548229548,83.6,26.0185185185185
73.1,171.0,121.9,4.1,4.5,5.6,2.4,71.2,41.6880407646797
68.6183516483517,190.0,81.8,1.6,20.0,0.3,5.4,64.9,22.6592797783934
